WBAN Number|WMO Number|Call Sign|Climate Division Code|Climate Division State Code|Climate Division Station Code|Name|Location|Address|Latitude|Longitude|Ground Height|Station Height|Barometer Height|Time Zone
93069||CEZ||||CORTEZ, CO|CORTEZ-MONTEZUMA COUNTY AP||37.18|-108.38|6685|6685|6675|
93073||ASE||||ASPEN, CO|ASPEN-PITKIN COUNTY AIRPT||39.13|-106.52|7815|7815|7815|
93075||CNY||||MOAB, UT|CANYONLAND FIELD||38.46|-109.45|4553|4553|4553|
93084||SAD||||SAFFORD, AZ|SAFFORD MUNI AIRPORT||32.51|-109.38|3176|3176|3176|
93102|724885|NFL||||FALLON, NV|FALLON NAS|NAVAL PACIFIC METEOROLOGY AND*OCEANOGRAPHY DETACHMENT*NAVAL AIR STATION*FALLON  NV  89406-5000|39.25|-118.42|3934|3934|3940|
93110||OXR||||OXNARD, CA|OXNARD AIRPORT||34.12|-119.13|43|43|43|
93115|722909|NRS||||IMPERIAL BEACH, CA|NAVAL AUXILIARY LANDING FD|OLF IMPERIAL BEACH DIVISION*NAVPACMETOCFAC SAN DIEGO*NAS NORTH ISLAND   BOX 357076*SAN DIEGO CA  92135-7076|32.34|-117.07|12|23|18|
93129||CDC|04|42|1267|CEDAR CITY, UT|CEDAR CITY MUNICIPAL AIRPT|AFSS*2248 W. KITTY HAWK DR.*CEDER CITY, UT.*84720*|37.42|-113.06|5626|5626|5626|
93134||CQT|06|04|5115|LOS ANGELES, CA|DOWNTOWN L.A./USC CAMPUS||34.02|-118.18|185|185|185|
93138||PSP||||PALM SPRINGS, CA|PALM SPRINGS REGIONAL APT||33.50|-116.31|462|462|462|
93141||PUC||||PRICE, UT|PRICE CARBON COUNTY AIRPT||39.33|-110.45|5953|5953|5953|
93167|72370|IGM||02|4639|KINGMAN, AZ|KINGMAN||35.16|-113.56|3446|3385|3385|
93184||SNA||||SANTA ANA, CA|J. WAYNE APT-ORANGE CO APT||33.41|-117.52|54|54|54|
93193|72389|FAT|05|04|3257|FRESNO, CA|FRESNO AIR TERMINAL|NAT'L WEA SER OFC*FRESNO AIR TERMINAL*3599 PEACH AVE.*CLOVIS,CA    93612|36.47|-119.43|343|343|343|
93206||SBP||||SAN LUIS OBISPO, CA|COUNTY McCHESNEY FIELD||35.14|-120.38|209|209|209|
93210||OVE||||OROVILLE, CA|OROVILLE MUNICIPAL AIRPORT||39.29|-121.37|192|192|192|
93225||SMF||||SACRAMENTO, CA|INTERNATIONAL AIRPORT||38.42|-121.35|25|25|25|
93226|72390|87Q||||PT. PIEDRAS BLANCA, CA|PT POEDRAS BLANCA||35.40|-121.17|69|69|69|
93227||APC||||NAPA, CA|NAPA COUNTY AIRPORT||38.13|-121.17|33|33|33|
93228||HWD||||HAYWARD, CA|HAYWARD AIR TERMINAL||37.40|-122.07|47|47|47|
93241||VCB||||VACAVILLE, CA|VACAVILLE NUT TREE AIRPORT||38.23|-121.58|114|114|114|
93242||MAE||||MADERA, CA|MADERA MUNICIPAL AIRPORT||36.59|-120.07|253|253|253|
